alpha,seed,T,d,r,beta,lambda_reg,covariance_type,rho,length_scale,eta,mask_value,n_steps,learning_rate,n_population_config,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
3.0,0,4,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,7500,5000,0.9539530006282496,0.9532131644970386,0.5208333333333334,0.5187484564010704,5.110079761626676,5.110079761626676,0.4579633937059599,0.0896196175145762
5.0,0,4,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,12500,5000,0.9553211684040532,0.9601235584432668,0.5208333333333334,0.5204079413372245,4.903408661227086,4.903408661227086,0.448957324902715,0.0915602504137117
0.5,0,6,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,1250,5000,0.9813210384950182,0.9860705035458324,0.4083333333333334,0.4094852715378921,4.9770008667456604,4.9770008667456604,1.3393875186590218,0.2691153878650648
1.0,0,6,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,2500,5000,0.9799349240552552,0.978287134859194,0.4083333333333334,0.4086135571557748,4.1249380594481595,4.124938059448159,1.0098236408640957,0.2448094071500291
2.0,0,6,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,5000,5000,0.9762848587204216,0.9766704452870024,0.4083333333333334,0.4070527959532702,3.7231027751380976,3.7231027751380976,0.7448573061687882,0.200063589740995
3.0,0,6,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,7500,5000,0.97807525933453,0.978273459978559,0.4083333333333334,0.4081886246491627,3.398580985853802,3.398580985853801,0.8699356947068138,0.2559702706299542
5.0,0,6,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,12500,5000,0.9800502058180612,0.9783195522540308,0.4083333333333334,0.4083752142397848,3.172349366956425,3.172349366956425,0.4458159845612378,0.1405318056090893
0.5,0,4,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,1250,5000,1.254537045497793,1.2518934294191728,1.0,1.004254533038861,0.0044159558928744,0.0044159558928744,0.0004279755360699,0.0969157180126097
1.0,0,4,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,2500,5000,1.24924612709563,1.2472895469127316,1.0,0.9963076447657666,0.0044158638632278,0.0044158638632278,0.0004279719315305,0.0969169215324719
2.0,0,4,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,5000,5000,1.2525030885837731,1.249704134976615,1.0,0.9972684929503474,0.0044158189523178,0.0044158189523178,0.0004279177966468,0.0969056479143521
3.0,0,4,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,7500,5000,1.247148022326552,1.2476233590446486,1.0,0.9985303675510312,0.0044158586631586,0.0044158586631586,0.0004279669295639,0.0969159029328695
5.0,0,4,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,12500,5000,1.2483349562843005,1.2522983124525586,1.0,0.9988698818985596,0.0044157732805941,0.0044157732805941,0.0004278138670365,0.0968831142026018
0.5,0,6,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,1250,5000,1.1696931842550635,1.1661935027056742,1.0,1.0015095991542753,0.0044158278489503,0.0044158278489503,0.0004279143614965,0.0969046747595247
1.0,0,6,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,2500,5000,1.1687989365826958,1.1650008610968603,1.0,0.9989577489163668,0.0044157334683317,0.0044157334683317,0.0004278813721438,0.096899275106282
2.0,0,6,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,5000,5000,1.1644592024323983,1.162182537870709,1.0,0.9946715873280612,0.0044157465860801,0.0044157465860801,0.0004278445020131,0.096890637556485
3.0,0,6,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,7500,5000,1.1661732431594405,1.163737832940881,1.0,0.9991905859282706,0.0044157646896227,0.0044157646896227,0.0004278634842886,0.0968945390804435
5.0,0,6,50,50,1.0,0.1,identity,,,,1.0,500,0.001,5000,12500,5000,1.165196667215216,1.1640556683575425,1.0,0.9973804662927968,0.0044157916154973,0.0044157916154973,0.0004279439265131,0.0969121651962202
0.5,0,4,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,1250,5000,1.1236319032772275,1.1226262763543275,0.9415384615384615,0.945308343755974,0.0044164708115625,0.0044164708115625,0.0004288912128,0.0971117507846311
1.0,0,4,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,2500,5000,1.1211006311864211,1.1179038386308824,0.9415384615384615,0.9386062792670185,0.0044164415997207,0.0044164415997207,0.0004289500241094,0.0971257095614289
2.0,0,4,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,5000,5000,1.1232039703295271,1.1196146843512382,0.9415384615384615,0.9397119810920324,0.0044163810243137,0.0044163810243137,0.0004288945054964,0.0971144706797898
